iter,train_loss,valid_loss,test_loss
3080,0.0004,0.0016,0.0016
3090,0.0004,0.0017,0.0014
3100,0.0008,0.0022,0.0015
3110,0.0007,0.0017,0.0018
3120,0.0005,0.0016,0.0017
3130,0.0004,0.0015,0.0016
3140,0.0005,0.0019,0.0013
3150,0.0006,0.0017,0.0017
3160,0.0005,0.0016,0.0016
3170,0.0004,0.0017,0.0013
3180,0.0004,0.0015,0.0015
3190,0.0014,0.0021,0.0025
3200,0.0008,0.0018,0.0018
3210,0.0006,0.0015,0.0017
3220,0.0004,0.0015,0.0015
3230,0.0005,0.0018,0.0013
3240,0.0005,0.0015,0.0016
3250,0.0004,0.0015,0.0015
3260,0.0004,0.0017,0.0013
3270,0.0005,0.0015,0.0015
3280,0.0003,0.0014,0.0013
3290,0.0003,0.0015,0.0013
3300,0.0007,0.0016,0.0018
3310,0.0005,0.0016,0.0014
3320,0.0003,0.0014,0.0013
3330,0.0004,0.0016,0.0012
3340,0.0004,0.0017,0.0012
3350,0.0009,0.0018,0.0018
3360,0.0004,0.0017,0.0013
3370,0.0003,0.0015,0.0013
3380,0.0004,0.0014,0.0014
3390,0.0009,0.002,0.0017
3400,0.0007,0.0017,0.0016
3410,0.0004,0.0015,0.0013
3420,0.0003,0.0014,0.0013
3430,0.0004,0.0014,0.0014
3440,0.0007,0.0017,0.0014
3450,0.0004,0.0014,0.0013
3460,0.0003,0.0015,0.0011
3470,0.0003,0.0013,0.0013
3480,0.001,0.0017,0.002
3490,0.0004,0.0013,0.0014
3500,0.0003,0.0014,0.0012
3510,0.0003,0.0013,0.0012
3520,0.0013,0.0025,0.0016
3530,0.0005,0.0014,0.0013
3540,0.0022,0.0041,0.0015
3550,0.0016,0.0029,0.0016
3560,0.0004,0.0013,0.0015
3570,0.0004,0.0012,0.0016
3580,0.0003,0.0013,0.0013
3590,0.0003,0.0013,0.0013
3600,0.0004,0.0013,0.0013
3610,0.0004,0.0013,0.0013
3620,0.0003,0.0012,0.0013
3630,0.0003,0.0012,0.0011
3640,0.0003,0.0012,0.0011
3650,0.0005,0.0015,0.0012
3660,0.0004,0.0013,0.0014
3670,0.0003,0.0012,0.0013
3680,0.0003,0.0012,0.0011
3690,0.0002,0.0012,0.0011
3700,0.0019,0.0026,0.0029
3710,0.0003,0.0011,0.0013
3720,0.0005,0.0017,0.0011
3730,0.0003,0.0011,0.0013
3740,0.0003,0.0012,0.0011
